(16489, 1636, -4, 8)
(16516, 1356, -20, 40)
(16541, 1256, 44, 76)
(16566, 916, 28, 36)
(16590, 868, 76, 36)
(16614, 640, 28, 28)
(16638, 664, 92, 24)
(16661, 508, 100, 16)
(16685, 476, 80, 12)
(16709, 480, 88, 28)
(16733, 540, 116, 28)
(16758, 540, 80, -28)
(16784, 732, 16, 92)
(16808, 892, 60, -12)
(16832, 1004, 0, 84)
(16856, 1176, -20, 48)
(16976, 2040, -132, 80)
(17097, 1968, -232, 40)
(17193, 1260, -188, -24)
(17313, 564, -164, 20)
(17432, 668, -176, 16)
(17579, 1612, -188, 84)
(17680, 2040, -160, 92)
(17800, 1796, -80, 40)
(17898, 1100, 8, -8)
(18017, 552, 116, -80)
(18137, 848, 28, -8)
(18260, 1760, -64, 84)
(18379, 2036, -200, 100)
(18499, 1460, -216, 32)
(18618, 740, -164, 12)
(18714, 580, -160, -84)
(18837, 1068, -192, 40)
(18959, 1848, -144, 108)
(19078, 1940, -92, 88)
(19198, 1252, -16, 36)
(19317, 608, 80, 8)
(19439, 744, 40, -72)
(19535, 1252, -8, 0)
(19658, 1896, -120, 88)
(19780, 1780, -192, 88)
(19900, 1072, -160, 60)
(20022, 608, -156, 40)
(20118, 856, -164, -16)
(20237, 1568, -172, 28)
